state,year,sex,pluarlity,age,births
Arizona,2017,Male,Single,15-19 years,2525
Arizona,2017,Male,Single,20-24 years,9331
Arizona,2017,Male,Single,25-29 years,12252
Arizona,2017,Male,Single,30-34 years,10125
Arizona,2017,Male,Single,35-39 years,4894
Arizona,2017,Male,Single,40-44 years,1085
Arizona,2017,Male,Single,45-49 years,63
Arizona,2017,Male,Twin,15-19 years,29
Arizona,2017,Male,Twin,20-24 years,186
Arizona,2017,Male,Twin,25-29 years,329
Arizona,2017,Male,Twin,30-34 years,416
Arizona,2017,Male,Twin,35-39 years,227
Arizona,2017,Male,Twin,40-44 years,45
Arizona,2017,Male,Twin,45-49 years,20
Arizona,2017,Male,Triplet,25-29 years,11
Arizona,2017,Male,Triplet,30-34 years,20
Arizona,2017,Male,Triplet,35-39 years,13
Arizona,2018,Female,Single,Under 15 years,13
Arizona,2018,Female,Single,15-19 years,2232
Arizona,2018,Female,Single,20-24 years,8660
Arizona,2018,Female,Single,25-29 years,11486
Arizona,2018,Female,Single,30-34 years,9684
Arizona,2018,Female,Single,35-39 years,4860
Arizona,2018,Female,Single,40-44 years,1089
Arizona,2018,Female,Single,45-49 years,67
Arizona,2018,Female,Twin,15-19 years,41
Arizona,2018,Female,Twin,20-24 years,165
Arizona,2018,Female,Twin,25-29 years,370
Arizona,2018,Female,Twin,30-34 years,352
Arizona,2018,Female,Twin,35-39 years,249
Arizona,2018,Female,Twin,40-44 years,59
Arizona,2018,Female,Twin,45-49 years,12
Arizona,2018,Female,Triplet,25-29 years,10
Arizona,2018,Female,Triplet,35-39 years,12
Arizona,2018,Male,Single,Under 15 years,17
Arizona,2018,Male,Single,15-19 years,2333
Arizona,2018,Male,Single,20-24 years,8866
Arizona,2018,Male,Single,25-29 years,12112
Arizona,2018,Male,Single,30-34 years,10342
Arizona,2018,Male,Single,35-39 years,5169
Arizona,2018,Male,Single,40-44 years,1072
Arizona,2018,Male,Single,45-49 years,71
Arizona,2018,Male,Twin,15-19 years,44
Arizona,2018,Male,Twin,20-24 years,177
Arizona,2018,Male,Twin,25-29 years,375
Arizona,2018,Male,Twin,30-34 years,394
Arizona,2018,Male,Twin,35-39 years,235
Arizona,2018,Male,Twin,40-44 years,55
Arizona,2018,Male,Twin,45-49 years,13
Arizona,2018,Male,Triplet,25-29 years,13
Arizona,2018,Male,Triplet,30-34 years,10
Arizona,2018,Male,Triplet,35-39 years,15
Arizona,2018,Male,Triplet,40-44 years,10
Arizona,2019,Female,Single,Under 15 years,20
Arizona,2019,Female,Single,15-19 years,2034
Arizona,2019,Female,Single,20-24 years,8180
Arizona,2019,Female,Single,25-29 years,11551
Arizona,2019,Female,Single,30-34 years,9890
Arizona,2019,Female,Single,35-39 years,4790
Arizona,2019,Female,Single,40-44 years,1062
Arizona,2019,Female,Single,45-49 years,64
Arizona,2019,Female,Twin,15-19 years,30
Arizona,2019,Female,Twin,20-24 years,187
Arizona,2019,Female,Twin,25-29 years,277
Arizona,2019,Female,Twin,30-34 years,333
Arizona,2019,Female,Twin,35-39 years,205
Arizona,2019,Female,Twin,40-44 years,42
Arizona,2019,Male,Single,Under 15 years,17
Arizona,2019,Male,Single,15-19 years,2224
Arizona,2019,Male,Single,20-24 years,8349
Arizona,2019,Male,Single,25-29 years,12236
Arizona,2019,Male,Single,30-34 years,10232
Arizona,2019,Male,Single,35-39 years,5225
Arizona,2019,Male,Single,40-44 years,1079
Arizona,2019,Male,Single,45-49 years,61
Arizona,2019,Male,Twin,15-19 years,30
Arizona,2019,Male,Twin,20-24 years,197
Arizona,2019,Male,Twin,25-29 years,305
Arizona,2019,Male,Twin,30-34 years,410
Arizona,2019,Male,Twin,35-39 years,222
Arizona,2019,Male,Twin,40-44 years,45
Arizona,2019,Male,Triplet,30-34 years,14
Arizona,2019,Male,Triplet,35-39 years,11
Arkansas,2016,Female,Single,Under 15 years,22
Arkansas,2016,Female,Single,15-19 years,1624
Arkansas,2016,Female,Single,20-24 years,5260
Arkansas,2016,Female,Single,25-29 years,5587
Arkansas,2016,Female,Single,30-34 years,3700
Arkansas,2016,Female,Single,35-39 years,1488
Arkansas,2016,Female,Single,40-44 years,243
Arkansas,2016,Female,Single,45-49 years,17
Arkansas,2016,Female,Twin,15-19 years,15
Arkansas,2016,Female,Twin,20-24 years,147
Arkansas,2016,Female,Twin,25-29 years,147
Arkansas,2016,Female,Twin,30-34 years,128
Arkansas,2016,Female,Twin,35-39 years,87
Arkansas,2016,Female,Twin,40-44 years,14
