state,2019year,race,2019births
Massachusetts,2019,American Indian or Alaska Native,106
Massachusetts,2019,Asian,6398
Massachusetts,2019,Black or African American,9473
Massachusetts,2019,Native Hawaiian or Other Pacific Islander,30
Massachusetts,2019,White,51221
Massachusetts,2019,More than one race,1889
Michigan,2019,American Indian or Alaska Native,454
Michigan,2019,Asian,4352
Michigan,2019,Black or African American,20960
Michigan,2019,Native Hawaiian or Other Pacific Islander,43
Michigan,2019,White,79464
Michigan,2019,More than one race,2613
Minnesota,2019,American Indian or Alaska Native,1106
Minnesota,2019,Asian,5276
Minnesota,2019,Black or African American,8491
Minnesota,2019,Native Hawaiian or Other Pacific Islander,72
Minnesota,2019,White,49269
Minnesota,2019,More than one race,1813
Mississippi,2019,American Indian or Alaska Native,235
Mississippi,2019,Asian,487
Mississippi,2019,Black or African American,16071
Mississippi,2019,Native Hawaiian or Other Pacific Islander,29
Mississippi,2019,White,19526
Mississippi,2019,More than one race,288
Missouri,2019,American Indian or Alaska Native,220
Missouri,2019,Asian,1900
Missouri,2019,Black or African American,10902
Missouri,2019,Native Hawaiian or Other Pacific Islander,296
Missouri,2019,White,56376
Missouri,2019,More than one race,2433
Montana,2019,American Indian or Alaska Native,1207
Montana,2019,Asian,116
Montana,2019,Black or African American,66
Montana,2019,Native Hawaiian or Other Pacific Islander,23
Montana,2019,White,9304
Montana,2019,More than one race,363
Nebraska,2019,American Indian or Alaska Native,501
Nebraska,2019,Asian,911
Nebraska,2019,Black or African American,1875
Nebraska,2019,Native Hawaiian or Other Pacific Islander,40
Nebraska,2019,White,20743
Nebraska,2019,More than one race,685
Nevada,2019,American Indian or Alaska Native,382
Nevada,2019,Asian,2745
Nevada,2019,Black or African American,4849
Nevada,2019,Native Hawaiian or Other Pacific Islander,416
Nevada,2019,White,24956
Nevada,2019,More than one race,1724
New Hampshire,2019,American Indian or Alaska Native,15
New Hampshire,2019,Asian,526
New Hampshire,2019,Black or African American,326
New Hampshire,2019,Native Hawaiian or Other Pacific Islander,10
New Hampshire,2019,White,10805
New Hampshire,2019,More than one race,157
New Jersey,2019,American Indian or Alaska Native,241
New Jersey,2019,Asian,11507
New Jersey,2019,Black or African American,16634
New Jersey,2019,Native Hawaiian or Other Pacific Islander,182
New Jersey,2019,White,69638
New Jersey,2019,More than one race,1383
New Mexico,2019,American Indian or Alaska Native,2881
New Mexico,2019,Asian,421
New Mexico,2019,Black or African American,502
New Mexico,2019,Native Hawaiian or Other Pacific Islander,19
New Mexico,2019,White,18597
New Mexico,2019,More than one race,540
New York,2019,American Indian or Alaska Native,756
New York,2019,Asian,24883
New York,2019,Black or African American,41197
New York,2019,Native Hawaiian or Other Pacific Islander,153
New York,2019,White,149440
New York,2019,More than one race,5110
North Carolina,2019,American Indian or Alaska Native,1728
North Carolina,2019,Asian,5219
North Carolina,2019,Black or African American,30964
North Carolina,2019,Native Hawaiian or Other Pacific Islander,512
North Carolina,2019,White,76847
North Carolina,2019,More than one race,3455
North Dakota,2019,American Indian or Alaska Native,852
North Dakota,2019,Asian,260
North Dakota,2019,Black or African American,733
North Dakota,2019,Native Hawaiian or Other Pacific Islander,48
North Dakota,2019,White,8207
North Dakota,2019,More than one race,354
Ohio,2019,American Indian or Alaska Native,191
Ohio,2019,Asian,4480
Ohio,2019,Black or African American,23460
Ohio,2019,Native Hawaiian or Other Pacific Islander,140
Ohio,2019,White,102148
Ohio,2019,More than one race,4042
Oklahoma,2019,American Indian or Alaska Native,5054
Oklahoma,2019,Asian,1318
Oklahoma,2019,Black or African American,4478
Oklahoma,2019,Native Hawaiian or Other Pacific Islander,250
Oklahoma,2019,White,34190
Oklahoma,2019,More than one race,3853
Oregon,2019,American Indian or Alaska Native,609
Oregon,2019,Asian,2462
Oregon,2019,Black or African American,1120
Oregon,2019,Native Hawaiian or Other Pacific Islander,375
Oregon,2019,White,35415
Oregon,2019,More than one race,1877
Pennsylvania,2019,American Indian or Alaska Native,326
Pennsylvania,2019,Asian,6619
Pennsylvania,2019,Black or African American,22040
Pennsylvania,2019,Native Hawaiian or Other Pacific Islander,261
Pennsylvania,2019,White,101211
Pennsylvania,2019,More than one race,3773
Rhode Island,2019,American Indian or Alaska Native,113
Rhode Island,2019,Asian,565
Rhode Island,2019,Black or African American,1386
Rhode Island,2019,Native Hawaiian or Other Pacific Islander,47
Rhode Island,2019,White,7727
Rhode Island,2019,More than one race,337
South Carolina,2019,American Indian or Alaska Native,181
South Carolina,2019,Asian,1244
South Carolina,2019,Black or African American,17670
South Carolina,2019,Native Hawaiian or Other Pacific Islander,82
South Carolina,2019,White,36397
South Carolina,2019,More than one race,1464
South Dakota,2019,American Indian or Alaska Native,1703
South Dakota,2019,Asian,211
South Dakota,2019,Black or African American,433
South Dakota,2019,Native Hawaiian or Other Pacific Islander,16
South Dakota,2019,White,8653
South Dakota,2019,More than one race,433
Tennessee,2019,American Indian or Alaska Native,247
Tennessee,2019,Asian,2042
Tennessee,2019,Black or African American,16861
